Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR
Qc 2h 2c,5c4c,0.051,47.49,49.901,159.201
Qc 2h 2c,6c5c,0.078,47.32,48.3084,154.686
Qc 2h 2c,7c5c,0.071,47.02,47.4985,153.072
Qc 2h 2c,7c6c,0.092,47.30,47.5171,152.207
Qc 2h 2c,8c6c,0.081,48.02,48.1743,151.992
Qc 2h 2c,8c7c,0.084,48.14,48.2302,151.79
Qc 2h 2c,9c6c,0.059,49.10,48.4819,149.606
Qc 2h 2c,9c7c,0.071,49.22,48.513,149.341
Qc 2h 2c,9c8c,0.079,50.02,50.0531,151.617
Qc 2h 2c,9c8d,0.034,26.89,24.645,138.849
Qc 2h 2c,9c8h,0.049,27.01,24.8811,139.597
Qc 2h 2c,9c8s,0.034,26.89,24.645,138.849
Qc 2h 2c,Tc5c,0.007,50.49,49.8795,149.672
Qc 2h 2c,Tc6c,0.070,50.73,49.3241,147.314
Qc 2h 2c,Tc7c,0.070,50.85,49.3743,147.107
Qc 2h 2c,Tc8c,0.077,51.65,50.9542,149.464
Qc 2h 2c,Tc9c,0.078,52.73,52.1046,149.73
Qc 2h 2c,Tc8d,0.054,29.12,25.0118,130.149
Qc 2h 2c,Tc9d,0.060,30.82,26.0548,128.084
Qc 2h 2c,Tc8h,0.071,29.24,25.2345,130.781
Qc 2h 2c,Tc9h,0.060,30.93,26.3319,128.984
Qc 2h 2c,Tc8s,0.054,29.12,25.0118,130.149
Qc 2h 2c,Tc9s,0.060,30.82,26.0548,128.084
Qc 2h 2c,Jc4c,0.048,53.41,52.5638,149.105
Qc 2h 2c,Jc5c,0.081,53.56,51.7946,146.514
Qc 2h 2c,Jc6c,0.078,53.79,51.447,144.91
Qc 2h 2c,Jc7c,0.073,53.95,51.5918,144.904
Qc 2h 2c,Jc8c,0.063,54.76,53.3526,147.618
Qc 2h 2c,Jc9c,0.066,55.85,54.6713,148.316
Qc 2h 2c,JcTc,0.075,57.01,55.934,148.65
Qc 2h 2c,Jc8d,0.020,33.29,26.1537,119.029
Qc 2h 2c,Jc9d,0.052,34.98,27.1537,117.62
Qc 2h 2c,JcTd,0.055,36.89,28.6065,117.503
Qc 2h 2c,Jc8h,0.029,33.42,26.3523,119.487
Qc 2h 2c,Jc9h,0.060,35.09,27.3916,118.262
Qc 2h 2c,JcTh,0.059,36.99,28.7728,117.847
Qc 2h 2c,Jc8s,0.020,33.29,26.1537,119.029
Qc 2h 2c,Jc9s,0.052,34.98,27.1537,117.62
Qc 2h 2c,JcTs,0.055,36.89,28.6065,117.503
Qc 2h 2c,Kc3c,0.078,59.79,60.8779,154.264
Qc 2h 2c,Kc4c,0.069,59.95,60.4953,152.896
Qc 2h 2c,Kc5c,0.063,60.14,60.0903,151.402
Qc 2h 2c,Kc6c,0.063,60.39,59.9033,150.288
Qc 2h 2c,Kc7c,0.065,60.57,60.1974,150.574
Qc 2h 2c,Kc8c,0.036,60.86,60.906,151.635
Qc 2h 2c,Kc9c,0.044,62.04,62.1242,151.721
Qc 2h 2c,KcTc,0.044,63.13,63.2728,151.847
Qc 2h 2c,KcJc,0.028,63.93,62.4117,147.924
Qc 2h 2c,Kc7d,0.001,41.13,30.7212,113.166
Qc 2h 2c,Kc8d,0.036,41.58,30.2185,110.115
Qc 2h 2c,Kc9d,0.047,43.36,31.2723,109.272
Qc 2h 2c,KcTd,0.057,45.18,32.7777,109.921
Qc 2h 2c,KcJd,0.053,46.43,33.3772,108.927
Qc 2h 2c,KcQd,0.147,86.64,83.4603,145.956
Qc 2h 2c,Kc7h,0.002,41.28,31.0091,113.823
Qc 2h 2c,Kc8h,0.040,41.71,30.4053,110.438
Qc 2h 2c,Kc9h,0.029,43.49,31.4719,109.658
Qc 2h 2c,KcTh,0.050,45.29,32.8725,109.971
Qc 2h 2c,KcJh,0.059,46.50,33.329,108.587
Qc 2h 2c,KcQh,0.136,86.51,83.0445,145.453
Qc 2h 2c,Kc7s,0.001,41.13,30.7212,113.167
Qc 2h 2c,Kc8s,0.036,41.58,30.2185,110.115
Qc 2h 2c,Kc9s,0.047,43.36,31.2723,109.272
Qc 2h 2c,KcTs,0.057,45.18,32.7777,109.921
Qc 2h 2c,KcJs,0.053,46.43,33.3772,108.927
Qc 2h 2c,KcQs,0.147,86.64,83.4602,145.956
Qc 2h 2c,Ac3c,0.078,68.04,70.7444,157.546
Qc 2h 2c,Ac4c,0.079,68.26,70.5964,156.704
Qc 2h 2c,Ac5c,0.092,68.50,70.4891,155.916
Qc 2h 2c,Ac6c,0.092,68.30,69.1737,153.452
Qc 2h 2c,Ac7c,0.089,68.61,69.659,153.821
Qc 2h 2c,Ac8c,0.069,69.12,70.6071,154.772
Qc 2h 2c,Ac9c,0.067,70.00,71.2253,154.176
Qc 2h 2c,AcTc,0.067,71.28,72.802,154.751
Qc 2h 2c,AcJc,0.066,72.27,72.3179,151.615
Qc 2h 2c,AcKc,0.112,75.18,77.7651,156.719
Qc 2h 2c,Ac3d,0.052,52.19,34.1905,99.2596
Qc 2h 2c,Ac4d,0.060,52.47,34.4704,99.5443
Qc 2h 2c,Ac5d,0.072,52.76,34.8037,99.9461
Qc 2h 2c,Ac6d,0.036,52.22,33.835,98.1674
Qc 2h 2c,Ac7d,0.039,52.67,34.244,98.5184
Qc 2h 2c,Ac8d,0.075,53.46,34.6802,98.2905
Qc 2h 2c,Ac9d,0.087,54.71,35.4828,98.2711
Qc 2h 2c,AcTd,0.089,56.85,37.7724,100.671
Qc 2h 2c,AcJd,0.090,58.47,39.2849,101.796
Qc 2h 2c,AcQd,0.071,88.95,89.7322,152.851
Qc 2h 2c,AcKd,0.074,62.45,47.9784,116.404
Qc 2h 2c,Ac3h,0.052,52.30,34.3297,99.4604
Qc 2h 2c,Ac4h,0.043,52.55,34.4874,99.4439
Qc 2h 2c,Ac5h,0.042,52.82,34.6836,99.4975
Qc 2h 2c,Ac6h,0.040,52.39,33.9762,98.2638
Qc 2h 2c,Ac7h,0.039,52.82,34.3762,98.6025
Qc 2h 2c,Ac8h,0.058,53.61,34.7818,98.308
Qc 2h 2c,Ac9h,0.058,54.84,35.6593,98.5189
Qc 2h 2c,AcTh,0.081,56.96,37.8458,100.663
Qc 2h 2c,AcJh,0.073,58.54,39.2072,101.484
Qc 2h 2c,AcQh,0.082,88.81,89.1536,152.094
Qc 2h 2c,AcKh,0.099,62.49,47.735,115.746
Qc 2h 2c,Ac3s,0.052,52.19,34.1905,99.2596
Qc 2h 2c,Ac4s,0.060,52.47,34.4704,99.5443
Qc 2h 2c,Ac5s,0.072,52.76,34.8037,99.9462
Qc 2h 2c,Ac6s,0.036,52.22,33.835,98.1674
Qc 2h 2c,Ac7s,0.039,52.67,34.244,98.5184
Qc 2h 2c,Ac8s,0.075,53.46,34.6802,98.2905
Qc 2h 2c,Ac9s,0.087,54.71,35.4828,98.2711
Qc 2h 2c,AcTs,0.089,56.85,37.7724,100.671
Qc 2h 2c,AcJs,0.090,58.47,39.2849,101.796
Qc 2h 2c,AcQs,0.071,88.95,89.7322,152.851
Qc 2h 2c,AcKs,0.074,62.45,47.9785,116.404
Qc 2h 2c,3d3c,0.072,56.80,42.7228,113.974
Qc 2h 2c,4d4c,0.070,58.81,44.5918,114.892
Qc 2h 2c,5d5c,0.068,61.13,46.9042,116.263
Qc 2h 2c,5d4d,0.022,21.13,23.5695,168.982
Qc 2h 2c,6d6c,0.069,63.38,49.1805,117.573
Qc 2h 2c,6d5d,0.065,20.27,21.8495,163.35
Qc 2h 2c,7d7c,0.065,65.68,51.4255,118.628
Qc 2h 2c,7d5d,0.068,19.53,20.9226,162.359
Qc 2h 2c,7d6d,0.070,19.75,20.7497,159.209
Qc 2h 2c,8d8c,0.074,68.29,54.1299,120.096
Qc 2h 2c,8d6d,0.046,20.66,20.5076,150.381
Qc 2h 2c,8d7d,0.052,20.85,20.6798,150.302
Qc 2h 2c,9d8c,0.017,26.78,24.404,138.097
Qc 2h 2c,9d9c,0.075,71.57,57.4998,121.732
Qc 2h 2c,9d6d,0.034,22.00,20.6551,142.253
Qc 2h 2c,9d7d,0.045,22.19,20.8222,142.181
Qc 2h 2c,9d8d,0.076,23.54,21.2996,137.12
Qc 2h 2c,9d8h,0.021,23.62,21.5119,137.971
Qc 2h 2c,9d8s,0.025,23.51,21.2629,137.024
Qc 2h 2c,Td8c,0.025,28.86,24.6229,129.288
Qc 2h 2c,Td9c,0.057,30.71,25.9145,127.866
Qc 2h 2c,TdTc,0.076,73.69,59.8033,122.966
Qc 2h 2c,Td5d,0.003,23.88,21.0268,133.404
Qc 2h 2c,Td6d,0.050,24.13,20.8298,130.784
Qc 2h 2c,Td7d,0.054,24.32,21.0071,130.857
Qc 2h 2c,Td8d,0.052,25.65,21.4955,126.976
Qc 2h 2c,Td9d,0.054,27.36,22.5299,124.766
Qc 2h 2c,Td8h,0.042,25.76,21.7278,127.811
Qc 2h 2c,Td9h,0.070,27.51,22.8929,126.093
Qc 2h 2c,Td8s,0.036,25.64,21.4799,126.931
Qc 2h 2c,Td9s,0.069,27.40,22.6006,124.986
Qc 2h 2c,Jd8c,0.012,32.82,24.8382,114.683
Qc 2h 2c,Jd9c,0.053,34.64,26.1711,114.458
Qc 2h 2c,JdTc,0.062,36.68,27.8566,115.065
Qc 2h 2c,JdJc,0.077,75.76,62.4751,124.947
Qc 2h 2c,Jd4d,0.041,27.75,21.3606,116.642
Qc 2h 2c,Jd5d,0.069,27.95,21.1099,114.446
Qc 2h 2c,Jd6d,0.058,28.17,20.9804,112.86
Qc 2h 2c,Jd7d,0.055,28.38,21.1471,112.899
Qc 2h 2c,Jd8d,0.051,29.73,21.7505,110.856
Qc 2h 2c,Jd9d,0.048,31.41,22.8201,110.087
Qc 2h 2c,JdTd,0.056,33.37,24.396,110.755
Qc 2h 2c,Jd8h,0.017,29.82,21.9336,111.443
Qc 2h 2c,Jd9h,0.077,31.55,23.1555,111.219
Qc 2h 2c,JdTh,0.070,33.50,24.6388,111.446
Qc 2h 2c,Jd8s,0.013,29.70,21.6864,110.649
Qc 2h 2c,Jd9s,0.056,31.43,22.8695,110.247
Qc 2h 2c,JdTs,0.055,33.39,24.4361,110.879
Qc 2h 2c,Qd8c,0.005,81.23,70.088,130.734
Qc 2h 2c,Qd9c,0.069,81.74,69.8443,129.464
Qc 2h 2c,QdTc,0.068,82.56,72.0031,132.144
Qc 2h 2c,QdJc,0.085,83.70,75.4274,136.537
Qc 2h 2c,Qd2d,0.029,98.22,178.95,276.038
Qc 2h 2c,Qd3d,0.065,79.23,65.958,126.139
Qc 2h 2c,Qd4d,0.071,79.24,66.2217,126.618
Qc 2h 2c,Qd5d,0.080,79.26,66.5564,127.227
Qc 2h 2c,Qd6d,0.058,79.07,66.1605,126.785
Qc 2h 2c,Qd7d,0.058,79.12,66.2179,126.81
Qc 2h 2c,Qd8d,0.055,79.24,66.3741,126.91
Qc 2h 2c,Qd9d,0.074,79.73,66.8763,127.096
Qc 2h 2c,QdTd,0.059,80.46,68.7603,129.483
Qc 2h 2c,QdJd,0.070,81.43,72.1089,134.171
Qc 2h 2c,Qd8h,0.001,79.45,66.663,127.132
Qc 2h 2c,Qd9h,0.046,79.83,66.9548,127.081
Qc 2h 2c,QdTh,0.038,80.54,68.8014,129.434
Qc 2h 2c,QdJh,0.035,81.42,71.7657,133.543
Qc 2h 2c,Qd8s,0.003,79.31,66.5489,127.144
Qc 2h 2c,Qd9s,0.074,79.70,66.8439,127.082
Qc 2h 2c,QdTs,0.059,80.43,68.728,129.466
Qc 2h 2c,QdJs,0.070,81.40,72.0693,134.149
Qc 2h 2c,Kd7c,0.001,40.43,28.5322,106.922
Qc 2h 2c,Kd8c,0.048,40.90,27.7093,102.648
Qc 2h 2c,Kd9c,0.083,42.81,28.9668,102.518
Qc 2h 2c,KdTc,0.094,44.74,30.7027,103.977
Qc 2h 2c,KdJc,0.080,46.22,32.1439,105.366
Qc 2h 2c,KdKc,0.054,88.41,109.239,187.201
Qc 2h 2c,Kd2d,0.015,92.31,139.377,228.777
Qc 2h 2c,Kd3d,0.076,36.57,24.7717,102.628
Qc 2h 2c,Kd4d,0.071,36.78,24.8017,102.162
Qc 2h 2c,Kd5d,0.049,37.03,24.7938,101.461
Qc 2h 2c,Kd6d,0.049,37.25,24.7892,100.824
Qc 2h 2c,Kd7d,0.049,37.52,24.9829,100.897
Qc 2h 2c,Kd8d,0.036,37.96,24.8222,99.0895
Qc 2h 2c,Kd9d,0.047,39.77,25.9141,98.7302
Qc 2h 2c,KdTd,0.072,41.63,27.4377,99.8645
Qc 2h 2c,KdJd,0.079,42.88,28.129,99.4008
Qc 2h 2c,KdQd,0.093,84.37,79.8358,143.381
Qc 2h 2c,Kd7h,0.002,37.64,25.2952,101.834
Qc 2h 2c,Kd8h,0.073,38.08,25.0222,99.5669
Qc 2h 2c,Kd9h,0.090,39.90,26.1698,99.3783
Qc 2h 2c,KdTh,0.105,41.74,27.6254,100.274
Qc 2h 2c,KdJh,0.088,42.96,28.182,99.3968
Qc 2h 2c,KdQh,0.071,84.21,79.4306,142.916
Qc 2h 2c,Kd7s,0.002,37.49,24.957,100.864
Qc 2h 2c,Kd8s,0.025,37.94,24.7977,99.0247
Qc 2h 2c,Kd9s,0.050,39.78,25.9282,98.7669
Qc 2h 2c,KdTs,0.072,41.63,27.4447,99.8824
Qc 2h 2c,KdJs,0.080,42.88,28.1401,99.4302
Qc 2h 2c,KdQs,0.092,84.34,79.7976,143.359
Qc 2h 2c,Ad3c,0.066,50.76,30.598,91.3411
Qc 2h 2c,Ad4c,0.064,51.15,31.0118,91.8603
Qc 2h 2c,Ad5c,0.064,51.57,31.432,92.3485
Qc 2h 2c,Ad6c,0.049,51.30,31.0486,91.6945
Qc 2h 2c,Ad7c,0.043,51.76,31.4739,92.1407
Qc 2h 2c,Ad8c,0.069,52.58,31.9369,92.0375
Qc 2h 2c,Ad9c,0.101,53.99,33.0381,92.715
Qc 2h 2c,AdTc,0.083,56.23,35.3336,95.2078
Qc 2h 2c,AdJc,0.071,58.07,37.3874,97.5479
Qc 2h 2c,AdKc,0.110,62.23,47.0506,114.556
Qc 2h 2c,AdAc,0.086,91.39,117.853,195.391
Qc 2h 2c,Ad2d,0.048,92.18,139.591,229.434
Qc 2h 2c,Ad3d,0.056,48.58,28.8104,89.8545
Qc 2h 2c,Ad4d,0.053,48.86,29.0378,90.0384
Qc 2h 2c,Ad5d,0.047,49.17,29.2967,90.2796
Qc 2h 2c,Ad6d,0.075,48.62,28.5417,88.9457
Qc 2h 2c,Ad7d,0.066,49.07,28.9586,89.4079
Qc 2h 2c,Ad8d,0.078,49.89,29.3662,89.192
Qc 2h 2c,Ad9d,0.073,51.16,30.2079,89.4682
Qc 2h 2c,AdTd,0.057,53.34,32.2284,91.54
Qc 2h 2c,AdJd,0.078,54.96,33.5959,92.6153
Qc 2h 2c,AdQd,0.081,86.49,84.9649,148.845
Qc 2h 2c,AdKd,0.069,59.01,42.0084,107.854
Qc 2h 2c,Ad3h,0.175,48.69,29.0417,90.3813
Qc 2h 2c,Ad4h,0.149,48.94,29.2639,90.5943
Qc 2h 2c,Ad5h,0.126,49.22,29.456,90.6682
Qc 2h 2c,Ad6h,0.129,48.79,28.7591,89.3181
Qc 2h 2c,Ad7h,0.091,49.23,29.1542,89.7212
Qc 2h 2c,Ad8h,0.096,50.03,29.5384,89.451
Qc 2h 2c,Ad9h,0.098,51.29,30.4129,89.84
Qc 2h 2c,AdTh,0.065,53.46,32.3944,91.8139
Qc 2h 2c,AdJh,0.047,55.03,33.5452,92.3589
Qc 2h 2c,AdQh,0.064,86.31,84.3349,148.044
Qc 2h 2c,AdKh,0.079,59.05,41.7545,107.136
Qc 2h 2c,Ad3s,0.056,48.58,28.7955,89.8122
Qc 2h 2c,Ad4s,0.053,48.86,29.0357,90.033
Qc 2h 2c,Ad5s,0.047,49.17,29.2999,90.289
Qc 2h 2c,Ad6s,0.074,48.62,28.5373,88.9335
Qc 2h 2c,Ad7s,0.066,49.08,28.963,89.4205
Qc 2h 2c,Ad8s,0.079,49.89,29.3706,89.2053
Qc 2h 2c,Ad9s,0.073,51.16,30.2083,89.4695
Qc 2h 2c,AdTs,0.057,53.34,32.2299,91.5449
Qc 2h 2c,AdJs,0.076,54.97,33.587,92.5811
Qc 2h 2c,AdQs,0.082,86.44,84.8873,148.795
Qc 2h 2c,AdKs,0.069,59.01,42.0085,107.854
Qc 2h 2c,3h3c,0.082,56.83,42.7007,113.848
Qc 2h 2c,3h3d,0.052,55.01,41.0815,113.147
Qc 2h 2c,4h4c,0.080,58.81,44.4369,114.483
Qc 2h 2c,4h4d,0.052,56.96,42.8156,113.889
Qc 2h 2c,5h5c,0.077,61.10,46.6445,115.661
Qc 2h 2c,5h5d,0.049,59.23,45.0774,115.303
Qc 2h 2c,5h4h,0.027,24.68,26.5033,162.737
Qc 2h 2c,6h6c,0.064,63.48,49.2056,117.452
Qc 2h 2c,6h6d,0.043,61.43,47.2337,116.498
Qc 2h 2c,6h5h,0.065,23.92,24.7918,157.022
Qc 2h 2c,7h7c,0.060,65.77,51.4249,118.473
Qc 2h 2c,7h7d,0.043,63.82,49.5614,117.665
Qc 2h 2c,7h5h,0.100,23.24,23.8944,155.796
Qc 2h 2c,7h6h,0.087,23.51,23.7684,153.205
Qc 2h 2c,8h8c,0.067,68.36,54.1227,119.951
Qc 2h 2c,8h8d,0.042,66.46,52.241,119.093
Qc 2h 2c,8h6h,0.101,24.38,23.5596,146.44
Qc 2h 2c,8h7h,0.062,24.56,23.7334,146.418
Qc 2h 2c,9h8c,0.034,26.87,24.6905,139.2
Qc 2h 2c,9h9c,0.071,71.63,57.4528,121.532
Qc 2h 2c,9h8d,0.021,23.61,21.5606,138.354
Qc 2h 2c,9h9d,0.052,69.58,55.4881,120.831
Qc 2h 2c,9h6h,0.068,25.65,23.703,140.018
Qc 2h 2c,9h7h,0.059,25.84,23.8705,139.992
Qc 2h 2c,9h8h,0.047,27.10,24.4867,136.892
Qc 2h 2c,9h8s,0.021,23.61,21.5606,138.354
Qc 2h 2c,Th8c,0.039,28.95,24.8255,129.934
Qc 2h 2c,Th9c,0.057,30.80,26.1061,128.407
Qc 2h 2c,ThTc,0.072,73.72,59.6741,122.642
Qc 2h 2c,Th8d,0.041,25.73,21.6917,127.721
Qc 2h 2c,Th9d,0.076,27.49,22.8053,125.676
Qc 2h 2c,ThTd,0.061,71.64,57.6558,121.934
Qc 2h 2c,Th5h,0.011,27.38,24.0005,132.82
Qc 2h 2c,Th6h,0.080,27.67,23.8206,130.415
Qc 2h 2c,Th7h,0.053,27.86,23.9924,130.466
Qc 2h 2c,Th8h,0.037,29.11,24.5716,127.884
Qc 2h 2c,Th9h,0.026,30.72,25.6226,126.353
Qc 2h 2c,Th8s,0.041,25.73,21.6917,127.721
Qc 2h 2c,Th9s,0.076,27.49,22.8053,125.676
Qc 2h 2c,Jh8c,0.018,32.88,24.9549,114.984
Qc 2h 2c,Jh9c,0.062,34.72,26.2849,114.714
Qc 2h 2c,JhTc,0.064,36.76,27.9386,115.163
Qc 2h 2c,JhJc,0.076,75.73,62.1717,124.387
Qc 2h 2c,Jh8d,0.015,29.76,21.852,111.241
Qc 2h 2c,Jh9d,0.071,31.50,23.0094,110.667
Qc 2h 2c,JhTd,0.065,33.47,24.5518,111.15
Qc 2h 2c,JhJd,0.061,73.48,59.9416,123.592
Qc 2h 2c,Jh4h,0.075,31.04,24.3461,118.85
Qc 2h 2c,Jh5h,0.082,31.22,24.0412,116.679
Qc 2h 2c,Jh6h,0.059,31.49,23.9509,115.224
Qc 2h 2c,Jh7h,0.041,31.71,24.1076,115.204
Qc 2h 2c,Jh8h,0.029,32.97,24.758,113.76
Qc 2h 2c,Jh9h,0.015,34.56,25.8574,113.356
Qc 2h 2c,JhTh,0.061,36.40,27.4933,114.426
Qc 2h 2c,Jh8s,0.015,29.76,21.852,111.241
Qc 2h 2c,Jh9s,0.071,31.50,23.0094,110.667
Qc 2h 2c,JhTs,0.065,33.47,24.5518,111.15
Qc 2h 2c,Qh8c,0.001,81.08,69.691,130.23
Qc 2h 2c,Qh9c,0.049,81.60,69.4905,129.038
Qc 2h 2c,QhTc,0.049,82.42,71.6681,131.754
Qc 2h 2c,QhJc,0.067,83.57,75.0806,136.129
Qc 2h 2c,Qh8d,0.001,79.16,66.2185,126.741
Qc 2h 2c,Qh9d,0.045,79.56,66.5557,126.756
Qc 2h 2c,QhTd,0.038,80.30,68.4396,129.14
Qc 2h 2c,QhJd,0.044,81.27,71.7704,133.806
Qc 2h 2c,QhQd,0.129,99.37,194.234,296.173
Qc 2h 2c,Qh3h,0.068,80.02,68.5747,129.836
Qc 2h 2c,Qh4h,0.074,79.99,68.5503,129.852
Qc 2h 2c,Qh5h,0.078,79.96,68.6177,130.023
Qc 2h 2c,Qh6h,0.075,79.92,68.8006,130.438
Qc 2h 2c,Qh7h,0.080,79.97,68.8706,130.485
Qc 2h 2c,Qh8h,0.074,80.08,69.1146,130.765
Qc 2h 2c,Qh9h,0.122,80.53,69.5484,130.846
Qc 2h 2c,QhTh,0.097,81.20,71.3201,133.075
Qc 2h 2c,QhJh,0.084,82.03,74.2439,137.129
Qc 2h 2c,Qh8s,0.001,79.16,66.2185,126.741
Qc 2h 2c,Qh9s,0.045,79.56,66.5557,126.756
Qc 2h 2c,QhTs,0.038,80.30,68.4396,129.14
Qc 2h 2c,QhJs,0.044,81.27,71.7704,133.806
Qc 2h 2c,Kh7c,0.001,40.48,29.0101,108.593
Qc 2h 2c,Kh8c,0.049,40.95,28.1651,104.217
Qc 2h 2c,Kh9c,0.090,42.86,29.3694,103.818
Qc 2h 2c,KhTc,0.089,44.80,31.0371,104.974
Qc 2h 2c,KhJc,0.064,46.28,32.3068,105.759
Qc 2h 2c,KhKc,0.071,88.31,107.619,184.639
Qc 2h 2c,Kh7d,0.002,37.53,25.4212,102.622
Qc 2h 2c,Kh8d,0.051,37.99,25.2114,100.557
Qc 2h 2c,Kh9d,0.050,39.83,26.3183,100.125
Qc 2h 2c,KhTd,0.070,41.69,27.8462,101.205
Qc 2h 2c,KhJd,0.070,42.94,28.4519,100.387
Qc 2h 2c,KhQd,0.092,84.30,78.7883,141.606
Qc 2h 2c,KhKd,0.023,86.60,107.647,188.34
Qc 2h 2c,Kh3h,0.066,39.61,28.5763,109.307
Qc 2h 2c,Kh4h,0.055,39.79,28.5359,108.656
Qc 2h 2c,Kh5h,0.042,40.01,28.4759,107.838
Qc 2h 2c,Kh6h,0.035,40.31,28.567,107.368
Qc 2h 2c,Kh7h,0.027,40.57,28.7889,107.514
Qc 2h 2c,Kh8h,0.023,40.99,28.7163,106.158
Qc 2h 2c,Kh9h,0.042,42.70,29.9585,106.292
Qc 2h 2c,KhTh,0.061,44.44,31.6349,107.846
Qc 2h 2c,KhJh,0.063,45.58,32.2935,107.345
Qc 2h 2c,KhQh,0.153,84.79,81.0564,144.836
Qc 2h 2c,Kh7s,0.002,37.53,25.4212,102.622
Qc 2h 2c,Kh8s,0.051,37.99,25.2114,100.557
Qc 2h 2c,Kh9s,0.050,39.83,26.3183,100.125
Qc 2h 2c,KhTs,0.070,41.69,27.8462,101.205
Qc 2h 2c,KhJs,0.070,42.94,28.4519,100.387
Qc 2h 2c,KhQs,0.092,84.30,78.7883,141.606
Qc 2h 2c,Ah3c,0.047,50.79,30.6414,91.4079
Qc 2h 2c,Ah4c,0.046,51.19,31.0489,91.9082
Qc 2h 2c,Ah5c,0.040,51.60,31.4667,92.3903
Qc 2h 2c,Ah6c,0.052,51.33,31.1242,91.8644
Qc 2h 2c,Ah7c,0.046,51.79,31.5416,92.2852
Qc 2h 2c,Ah8c,0.061,52.61,32.0049,92.1791
Qc 2h 2c,Ah9c,0.095,54.02,33.0964,92.8225
Qc 2h 2c,AhTc,0.067,56.27,35.3602,95.2144
Qc 2h 2c,AhJc,0.070,58.11,37.3995,97.5067
Qc 2h 2c,AhKc,0.118,62.27,47.0491,114.474
Qc 2h 2c,AhAc,0.078,91.29,117.012,194.199
Qc 2h 2c,Ah3d,0.069,48.61,28.9296,90.1707
Qc 2h 2c,Ah4d,0.069,48.90,29.1542,90.3418
Qc 2h 2c,Ah5d,0.066,49.20,29.4014,90.5439
Qc 2h 2c,Ah6d,0.100,48.65,28.615,89.1243
Qc 2h 2c,Ah7d,0.086,49.10,29.0355,89.5929
Qc 2h 2c,Ah8d,0.102,49.91,29.4419,89.3697
Qc 2h 2c,Ah9d,0.089,51.19,30.2815,89.632
Qc 2h 2c,AhTd,0.067,53.38,32.3297,91.7645
Qc 2h 2c,AhJd,0.050,55.01,33.5961,92.5347
Qc 2h 2c,AhQd,0.071,86.42,84.3226,147.841
Qc 2h 2c,AhKd,0.067,59.06,41.9923,107.735
Qc 2h 2c,AhAd,0.079,89.43,115.285,195.311
Qc 2h 2c,Ah3h,0.042,51.01,33.0859,98.2684
Qc 2h 2c,Ah4h,0.054,51.26,33.2395,98.2515
Qc 2h 2c,Ah5h,0.077,51.53,33.4227,98.2724
Qc 2h 2c,Ah6h,0.072,51.12,32.5365,96.4328
Qc 2h 2c,Ah7h,0.063,51.56,32.9416,96.7977
Qc 2h 2c,Ah8h,0.101,52.33,33.4485,96.8541
Qc 2h 2c,Ah9h,0.078,53.53,34.2566,96.9714
Qc 2h 2c,AhTh,0.108,55.57,36.3663,99.1635
Qc 2h 2c,AhJh,0.094,57.02,37.6682,100.084
Qc 2h 2c,AhQh,0.079,86.88,86.989,151.705
Qc 2h 2c,AhKh,0.074,60.97,45.8111,113.841
Qc 2h 2c,Ah3s,0.069,48.61,28.9296,90.1707
Qc 2h 2c,Ah4s,0.069,48.90,29.1542,90.3417
Qc 2h 2c,Ah5s,0.066,49.20,29.4014,90.5439
Qc 2h 2c,Ah6s,0.100,48.65,28.615,89.1243
Qc 2h 2c,Ah7s,0.086,49.10,29.0356,89.5928
Qc 2h 2c,Ah8s,0.102,49.91,29.4419,89.3697
Qc 2h 2c,Ah9s,0.089,51.19,30.2815,89.632
Qc 2h 2c,AhTs,0.067,53.38,32.3297,91.7645
Qc 2h 2c,AhJs,0.050,55.01,33.5961,92.5348
Qc 2h 2c,AhQs,0.071,86.42,84.3226,147.841
Qc 2h 2c,AhKs,0.067,59.06,41.9924,107.735
Qc 2h 2c,2s2d,0.068,99.97,203.422,308.313
Qc 2h 2c,3s3c,0.072,56.80,42.7228,113.974
Qc 2h 2c,3s3d,0.043,54.98,41.1535,113.411
Qc 2h 2c,3s3h,0.052,55.01,41.0815,113.147
Qc 2h 2c,4s4c,0.070,58.81,44.5918,114.892
Qc 2h 2c,4s4d,0.048,56.96,43.0243,114.447
Qc 2h 2c,4s4h,0.052,56.96,42.8156,113.889
Qc 2h 2c,5s5c,0.068,61.13,46.9042,116.263
Qc 2h 2c,5s5d,0.057,59.26,45.5276,116.401
Qc 2h 2c,5s5h,0.049,59.23,45.0773,115.303
Qc 2h 2c,5s4s,0.022,21.13,23.5696,168.982
Qc 2h 2c,6s6c,0.069,63.38,49.1805,117.573
Qc 2h 2c,6s6d,0.050,61.33,47.2625,116.754
Qc 2h 2c,6s6h,0.043,61.43,47.2337,116.497
Qc 2h 2c,6s5s,0.065,20.27,21.8495,163.35
Qc 2h 2c,7s7c,0.065,65.68,51.4255,118.628
Qc 2h 2c,7s7d,0.047,63.73,49.6082,117.934
Qc 2h 2c,7s7h,0.043,63.82,49.5614,117.665
Qc 2h 2c,7s5s,0.068,19.53,20.9226,162.359
Qc 2h 2c,7s6s,0.070,19.75,20.7497,159.209
Qc 2h 2c,8s8c,0.074,68.29,54.1299,120.096
Qc 2h 2c,8s8d,0.045,66.39,52.2851,119.326
